distribution,specialist_regime_id,regime_key,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,neighborhood_trigger_scenarios,n_train_scenarios,n_heldout_scenarios,specialist_seed,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_robust_q95_mse,ga_robust_mean_mse,gate_pass,final_selected_type,final_selected_estimator,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_audit_scope,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_num_samples,profile_audit_bootstrap_B,profile_audit_seed,profile_audit_ga_q95_mse,profile_audit_ga_mean_mse,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_best_benchmark_q95_estimator,profile_audit_best_benchmark_mean_estimator,profile_audit_best_benchmark_q95_mse,profile_audit_best_benchmark_mean_mse,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,global_audit_run,global_audit_scenario_frac,global_audit_min_scenarios,global_audit_n_scenarios,global_audit_num_samples,global_audit_bootstrap_B,global_audit_seed,global_audit_ga_q95_mse,global_audit_ga_mean_mse,heldout_ga_q95_mse,heldout_ga_mean_mse,global_to_heldout_q95_ratio,global_to_heldout_mean_ratio,global_audit_gate_pass,global_audit_final_selected_type,global_audit_final_selected_estimator,global_audit_best_benchmark_q95_estimator,global_audit_best_benchmark_mean_estimator,global_audit_best_benchmark_q95_mse,global_audit_best_benchmark_mean_mse,global_audit_rel_improvement_q95,global_audit_rel_improvement_mean,global_audit_interpretation,experimental_condition_key,condition_summary,shape_regime,tail_regime,mechanism_regime,contamination_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,rate_regime_order,scale_regime_order,scale_group_regime_order,severity_regime,sample_size_regime,exact_contamination_rates,exact_outlier_scales,exact_contamination_types,exact_sample_sizes,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,winner_weight_vector,specialist_halving_rung,n_stage1_candidates,n_final_survivors,specialist_halving_keep_frac,specialist_halving_stage1_budget_frac,specialist_stage1_gens_frac,specialist_final_gens_frac,specialist_stage1_pop_size,specialist_final_pop_size,run_seed,seed_run_id
normal,REG01,normal | symmetric | light_tail | bimodal | bimodal_mixture | high | extreme_scale,evaluated,NA,24,4,20,2,TRUE,10,17,7,95102,2,current_specialist_finalist,FALSE,NA,FALSE,1,0.04016273519615048,0.011218082548763495,FALSE,benchmark,biweight,0.040068507961516855,0.010918749189299398,biweight,biweight,-0.0023516531916230737,-0.027414619957571357,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,46,24,24,20,40,784352527,0.07849819094301504,0.020351918347607207,1.954503112342419,1.8142065060874664,FALSE,benchmark,biweight,biweight,biweight,0.07793101931949147,0.020151417038727314,-0.007277867381550303,-0.00994973745442399,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,784352527,0.07849819094301504,0.020351918347607207,0.04016273519615048,0.011218082548763495,1.954503112342419,1.8142065060874664,FALSE,benchmark,biweight,biweight,biweight,0.07793101931949147,0.020151417038727314,-0.007277867381550303,-0.00994973745442399,benchmark_dominant_local_and_profile,normal | symmetric | light_tail | contaminated | bimodal | bimodal_mixture | high | extreme_scale | extreme_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=bimodal | structure=bimodal_mixture | severity=extreme_severity | rates={0.15;0.2} | scales={30} | types={mixture_bimodal_far;mixture_bimodal_near},symmetric,light_tail,mixture_bimodal_near,contaminated,bimodal,bimodal_mixture,high,extreme_scale,extreme_scale,3,4,3,extreme_severity,NA,0.15;0.2,30,mixture_bimodal_far;mixture_bimodal_near,300;500;1000,0.004396645397436469,0.004294386237194609,0.015008175265454143,1e-12,1e-12,0.0015707205811991824,2.9309700356770145e-4,0.002266939887454348,0.12972606884256274,0.8424439667831308,0.00439665;0.00429439;0.01500818;0;0;0.00157072;0.0002931;0.00226694;0.12972607;0.84244397,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
normal,REG02,normal | symmetric | light_tail | bimodal | bimodal_mixture | moderate | extreme_scale,evaluated,NA,24,4,20,2,TRUE,10,17,7,95103,1,current_specialist_finalist,FALSE,NA,FALSE,1,0.043176405814253714,0.01211775727577376,FALSE,benchmark,biweight,0.04362385864767059,0.011625618823784593,biweight,biweight,0.010257066827134375,-0.04233223705390881,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,60,24,24,20,40,1923997822,0.058316526204533786,0.01512236775695882,1.350657265314364,1.24795103677675,FALSE,benchmark,biweight,biweight,biweight,0.05481146644455775,0.014306503829120581,-0.06394756402763804,-0.057027484668933405,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1923997822,0.058316526204533786,0.01512236775695882,0.043176405814253714,0.01211775727577376,1.350657265314364,1.24795103677675,FALSE,benchmark,biweight,biweight,biweight,0.05481146644455775,0.014306503829120581,-0.06394756402763804,-0.057027484668933405,benchmark_dominant_local_and_profile,normal | symmetric | light_tail | contaminated | bimodal | bimodal_mixture | moderate | extreme_scale | extreme_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=bimodal | structure=bimodal_mixture | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={mixture_bimodal_far;mixture_bimodal_near},symmetric,light_tail,mixture_bimodal_near,contaminated,bimodal,bimodal_mixture,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.05;0.1,30,mixture_bimodal_far;mixture_bimodal_near,300;500;1000,0.003723499694466543,0.0028394740231009854,0.0044689260388205984,1e-12,1e-12,0.002409616770856297,3.0349829307921007e-4,0.0027519207714445425,0.13537802822195166,0.8481250361842803,0.0037235;0.00283947;0.00446893;0;0;0.00240962;0.0003035;0.00275192;0.13537803;0.84812504,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
normal,REG03,normal | symmetric | light_tail | symmetric | heavy_tailed_t | high | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95104,1,current_specialist_finalist,FALSE,NA,FALSE,1,0.07813150111523912,0.019144657356580684,FALSE,benchmark,biweight,0.07965337479302415,0.018452794681643132,biweight,biweight,0.01910620462372682,-0.037493652687108914,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,33,24,12,20,40,916159470,0.06396397974988387,0.015101258306503091,0.8186708156895935,0.7887975232172786,FALSE,benchmark,biweight,biweight,biweight,0.05820492285591617,0.014186855596618274,-0.09894449835669493,-0.06445421986520605,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,916159470,0.06396397974988387,0.015101258306503091,0.07813150111523912,0.019144657356580684,0.8186708156895935,0.7887975232172786,FALSE,benchmark,biweight,biweight,biweight,0.05820492285591617,0.014186855596618274,-0.09894449835669493,-0.06445421986520605,benchmark_dominant_local_and_profile,normal | symmetric | light_tail | contaminated | symmetric | heavy_tailed_t | high | moderate_scale | high_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=symmetric | structure=heavy_tailed_t | severity=high_severity | rates={0.2} | scales={9;20} | types={symmetric_t},symmetric,light_tail,symmetric_t,contaminated,symmetric,heavy_tailed_t,high,moderate_scale,mid_high_scale,3,2,2,high_severity,NA,0.2,9;20,symmetric_t,300;1000,0.0032188520298006345,0.004812737223633803,0.004663127658885111,1e-12,1e-12,0.0019241725734757754,2.989203901529366e-4,0.002231620650595593,0.1367119804299905,0.8461385890414657,0.00321885;0.00481274;0.00466313;0;0;0.00192417;0.00029892;0.00223162;0.13671198;0.84613859,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
lognormal,REG01,lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | moderate | extreme_scale,evaluated,NA,24,2,22,2,TRUE,10,17,7,95102,3,current_specialist_finalist,FALSE,NA,FALSE,0,0.11940562354642134,0.06441555115110698,TRUE,ga_composite,robust,0.11940562354642134,0.06441555115110698,huber,huber,0.0931818781452094,0.06842583147552923,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,60,24,24,20,40,328562708,0.20842025804067985,0.1361727801820323,1.745481090829083,2.1139736871998833,FALSE,benchmark,huber,huber,huber,0.18773687008080986,0.12162963473742995,-0.11017222110316856,-0.11956909577076377,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,328562708,0.20842025804067985,0.1361727801820323,0.11940562354642134,0.06441555115110698,1.745481090829083,2.1139736871998833,FALSE,benchmark,huber,huber,huber,0.18773687008080986,0.12162963473742995,-0.11017222110316856,-0.11956909577076377,regime_specific_profile_no_free_lunch,lognormal | right_skewed | heavy_right_tail | contaminated | upper_tail | tail_outlier | moderate | extreme_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.1} | scales={30} | types={upper_tail},right_skewed,heavy_right_tail,upper_tail,contaminated,upper_tail,tail_outlier,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.1,30,upper_tail,300;500;1000,0.11631295487903373,0.1777391030435918,0.023359404104656957,0.004732526637384852,0.24730200109068418,0.0027736371176096592,0.001099573616029026,0.01604817009772131,0.11753255461174485,0.29310007480154365,0.11631295;0.1777391;0.0233594;0.00473253;0.247302;0.00277364;0.00109957;0.01604817;0.11753255;0.29310007,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
lognormal,REG02,lognormal | right_skewed | heavy_right_tail | bimodal | bimodal_mixture | extreme | extreme_scale,evaluated,NA,18,2,16,2,TRUE,10,13,5,95103,1,current_specialist_finalist,FALSE,NA,FALSE,1,0.2538938867962419,0.14651011483386192,FALSE,benchmark,huber,0.3131236782099365,0.10664362231808538,huber,mean,0.18915781697541978,-0.3738291296641549,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,24,24,18,20,40,1468208003,0.3176883088355869,0.2158934011647266,1.251264112118189,1.4735733529938848,FALSE,benchmark,mean,mean,mean,0.17916717121472323,0.057822500096212794,-0.773139056005297,-2.733726504436173,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1468208003,0.3176883088355869,0.2158934011647266,0.2538938867962419,0.14651011483386192,1.251264112118189,1.4735733529938848,FALSE,benchmark,mean,mean,mean,0.17916717121472323,0.057822500096212794,-0.773139056005297,-2.733726504436173,benchmark_dominant_local_and_profile,lognormal | right_skewed | heavy_right_tail | contaminated | bimodal | bimodal_mixture | extreme | extreme_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=bimodal | structure=bimodal_mixture | severity=extreme_severity | rates={0.3} | scales={30} | types={mixture_bimodal_near},right_skewed,heavy_right_tail,mixture_bimodal_near,contaminated,bimodal,bimodal_mixture,extreme,extreme_scale,extreme_scale,4,4,3,extreme_severity,NA,0.3,30,mixture_bimodal_near,300;500;1000,0.02996489362636276,0.038072308722476966,0.05699642160506783,0.007050040250969366,0.45127196217111565,0.002546967974122076,0.0036470286485625588,0.2067555729358113,0.1891451152884539,0.014549688777057599,0.02996489;0.03807231;0.05699642;0.00705004;0.45127196;0.00254697;0.00364703;0.20675557;0.18914512;0.01454969,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
lognormal,REG03,lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | extreme | low_scale,evaluated,NA,18,2,16,2,TRUE,10,13,5,95104,3,current_specialist_finalist,FALSE,NA,FALSE,0,0.0768109876287945,0.03289245293682777,TRUE,ga_composite,robust,0.0768109876287945,0.03289245293682777,trimmed20,huber,0.17877441524077972,0.2321228871615846,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,30,24,18,20,40,460369651,0.22038264042951677,0.11469353210972462,2.8691551460279845,3.486925475777515,FALSE,benchmark,median,median,median,0.13548221547063444,0.07511847792824554,-0.6266536509115302,-0.526835144593252,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,460369651,0.22038264042951677,0.11469353210972462,0.0768109876287945,0.03289245293682777,2.8691551460279845,3.486925475777515,FALSE,benchmark,median,median,median,0.13548221547063444,0.07511847792824554,-0.6266536509115302,-0.526835144593252,regime_specific_profile_no_free_lunch,lognormal | right_skewed | heavy_right_tail | contaminated | upper_tail | tail_outlier | extreme | low_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.3} | scales={1.5;3} | types={upper_tail},right_skewed,heavy_right_tail,upper_tail,contaminated,upper_tail,tail_outlier,extreme,low_scale,low_scale,4,1,1,extreme_severity,NA,0.3,1.5;3,upper_tail,300;500;1000,0.1445680718553267,0.29777379049119956,0.042205808468288045,0.0050899510904930025,0.021356690321634578,0.003511713446529957,0.0012022770740337792,0.06295799144773626,0.0805144980946488,0.3408192077101093,0.14456807;0.29777379;0.04220581;0.00508995;0.02135669;0.00351171;0.00120228;0.06295799;0.0805145;0.34081921,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
weibull,REG01,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | moderate | extreme_scale,evaluated,NA,24,2,22,3,TRUE,10,17,7,95102,6,protected_previous_stage_elite,TRUE,previous_stage_elite,TRUE,1,0.11664223549744354,0.053123412309083184,TRUE,ga_composite,robust,0.11664223549744354,0.053123412309083184,huber,huber,0.08305619456795184,0.3103691423010681,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,60,24,24,20,40,1381813651,0.2580481760507863,0.09531997302639354,2.2123047877818633,1.7943119404681231,FALSE,benchmark,huber,huber,huber,0.17177934057248861,0.1176987291071963,-0.5022072805163154,0.19013591948160077,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,1381813651,0.2580481760507863,0.09531997302639354,0.11664223549744354,0.053123412309083184,2.2123047877818633,1.7943119404681231,FALSE,benchmark,huber,huber,huber,0.17177934057248861,0.1176987291071963,-0.5022072805163154,0.19013591948160077,regime_specific_profile_no_free_lunch,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | upper_tail | clustered | moderate | extreme_scale | extreme_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={clustered_upper},right_skewed_flexible_shape,flexible_tail,clustered_upper,contaminated,upper_tail,clustered,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.05;0.1,30,clustered_upper,300;500;1000,0.3108804995604482,0.4448962020781118,0.04142224947282688,0.015443136306780705,0.021093500318722612,0.016353862678578322,0.0050925420013002735,0.026679062466962614,0.04686945406166954,0.071269491054599,0.3108805;0.4448962;0.04142225;0.01544314;0.0210935;0.01635386;0.00509254;0.02667906;0.04686945;0.07126949,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
weibull,REG02,weibull | right_skewed_flexible_shape | flexible_tail | point_mass | point_mass | moderate | extreme_scale,evaluated,NA,24,2,22,2,TRUE,10,17,7,95103,5,current_specialist_finalist,FALSE,NA,FALSE,0,0.15175199552677557,0.0929012827899161,FALSE,benchmark,huber,0.13755023248278717,0.08531808479041171,huber,huber,-0.10324783017478609,-0.08888148413134252,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_adjacent_rate_scale,312,32,24,20,40,373975299,0.3446740096368019,0.23152019991874198,2.2712980375517717,2.492109828448785,FALSE,benchmark,huber,huber,huber,0.2703621586655017,0.20225822651460035,-0.2748603996129714,-0.14467630765013473,benchmark_dominant_local_and_profile,TRUE,0.1,24,32,20,40,373975299,0.3446740096368019,0.23152019991874198,0.15175199552677557,0.0929012827899161,2.2712980375517717,2.492109828448785,FALSE,benchmark,huber,huber,huber,0.2703621586655017,0.20225822651460035,-0.2748603996129714,-0.14467630765013473,benchmark_dominant_local_and_profile,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | point_mass | point_mass | moderate | extreme_scale | extreme_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={point_mass},right_skewed_flexible_shape,flexible_tail,point_mass,contaminated,point_mass,point_mass,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.05;0.1,30,point_mass,300;500;1000,0.14168338826883597,0.1788546714844736,0.049048832172838036,0.011203436781074843,0.0628612233618816,0.014588409478061662,0.0023745088558308316,0.06737909922794333,0.3536228347809253,0.11838359558813484,0.14168339;0.17885467;0.04904883;0.01120344;0.06286122;0.01458841;0.00237451;0.0673791;0.35362283;0.1183836,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
weibull,REG03,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | moderate | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95104,4,current_specialist_finalist,FALSE,NA,FALSE,0,0.0630236896997149,0.021681537788179675,TRUE,ga_composite,robust,0.0630236896997149,0.021681537788179675,huber,huber,0.5533917732531882,0.7521812914416383,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,42,24,12,20,40,1513620594,0.25028904586287676,0.1341484551204413,3.9713486635175155,6.187220501831242,FALSE,benchmark,huber,huber,huber,0.14489781674517083,0.09639171855076156,-0.7273486342608476,-0.3917010417176521,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,1513620594,0.25028904586287676,0.1341484551204413,0.0630236896997149,0.021681537788179675,3.9713486635175155,6.187220501831242,FALSE,benchmark,huber,huber,huber,0.14489781674517083,0.09639171855076156,-0.7273486342608476,-0.3917010417176521,regime_specific_profile_no_free_lunch,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | upper_tail | clustered | moderate | moderate_scale | moderate_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=moderate_severity | rates={0.05;0.1} | scales={4.5;6;9;12;15;20} | types={clustered_upper},right_skewed_flexible_shape,flexible_tail,clustered_upper,contaminated,upper_tail,clustered,moderate,moderate_scale,mid_high_scale,2,2,2,moderate_severity,NA,0.05;0.1,4.5;6;9;12;15;20,clustered_upper,300;500;1000,0.5203101132827311,0.22393152125275353,0.02223104863546025,0.005373298516111081,0.06657573440151389,0.012010562768049477,0.0018396133194680834,0.01629539060109755,0.06882117883590763,0.06261153838690732,0.52031011;0.22393152;0.02223105;0.0053733;0.06657573;0.01201056;0.00183961;0.01629539;0.06882118;0.06261154,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
invgauss,REG01,invgauss | right_skewed_duration | heavy_right_tail | point_mass | point_mass | low | extreme_scale,evaluated,NA,16,2,14,2,TRUE,10,12,4,95102,1,current_specialist_finalist,FALSE,NA,FALSE,1,0.0767629871080259,0.035646081293070064,TRUE,ga_composite,robust,0.0767629871080259,0.035646081293070064,huber,huber,0.3858234338949553,0.5877813069279954,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_adjacent_rate_scale,264,27,16,20,40,442424737,0.13807069831424115,0.0924723383471856,1.7986623959557535,2.594179640233523,FALSE,benchmark,mean,mean,mean,0.06476107879686595,0.03211205686891928,-1.132001209340431,-1.8796765876062071,regime_specific_profile_no_free_lunch,TRUE,0.1,24,27,20,40,442424737,0.13807069831424115,0.0924723383471856,0.0767629871080259,0.035646081293070064,1.7986623959557535,2.594179640233523,FALSE,benchmark,mean,mean,mean,0.06476107879686595,0.03211205686891928,-1.132001209340431,-1.8796765876062071,regime_specific_profile_no_free_lunch,invgauss | right_skewed_duration | heavy_right_tail | contaminated | point_mass | point_mass | low | extreme_scale | extreme_severity,shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=extreme_severity | rates={0.02} | scales={30} | types={point_mass},right_skewed_duration,heavy_right_tail,point_mass,contaminated,point_mass,point_mass,low,extreme_scale,extreme_scale,1,4,3,extreme_severity,NA,0.02,30,point_mass,300;500;1000,0.46017204889325874,0.17433043459419026,0.06728728403828556,0.021919235722117115,0.06133843004369838,0.0466541042930768,0.005721810334265822,0.03781330073205078,0.06417593079015309,0.06058742055890349,0.46017205;0.17433043;0.06728728;0.02191924;0.06133843;0.0466541;0.00572181;0.0378133;0.06417593;0.06058742,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
invgauss,REG02,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | moderate | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95103,5,current_specialist_finalist,FALSE,NA,FALSE,0,0.03958585942532434,0.015288027933788225,TRUE,ga_composite,robust,0.03958585942532434,0.015288027933788225,huber,mean,0.6624751412683798,0.8002192377031202,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,42,24,12,20,40,1582070032,0.0814561752026272,0.0411673301686634,2.0577088986593877,2.6927822440058655,TRUE,ga_composite,robust,mean,mean,0.11483769313116719,0.06277113630495391,0.2906843303628632,0.3441678358503982,profile_matched_generalization_bonus,TRUE,0.1,24,24,20,40,1582070032,0.0814561752026272,0.0411673301686634,0.03958585942532434,0.015288027933788225,2.0577088986593877,2.6927822440058655,TRUE,ga_composite,robust,mean,mean,0.11483769313116719,0.06277113630495391,0.2906843303628632,0.3441678358503982,profile_matched_generalization_bonus,invgauss | right_skewed_duration | heavy_right_tail | contaminated | upper_tail | tail_outlier | moderate | moderate_scale | moderate_severity,shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=moderate_severity | rates={0.05;0.1} | scales={4.5;6;9;12;15;20} | types={upper_tail},right_skewed_duration,heavy_right_tail,upper_tail,contaminated,upper_tail,tail_outlier,moderate,moderate_scale,mid_high_scale,2,2,2,moderate_severity,NA,0.05;0.1,4.5;6;9;12;15;20,upper_tail,300;500;1000,0.519627630561884,0.19038827620256427,0.05537154779772771,0.015577798549204188,0.04852476288138251,0.03552253106275654,0.006155877349222809,0.023074404506232462,0.06363103958054536,0.04212613150848015,0.51962763;0.19038828;0.05537155;0.0155778;0.04852476;0.03552253;0.00615588;0.0230744;0.06363104;0.04212613,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
