family,regime_key,n_seeds_observed,ga_win_count,ga_win_rate_across_seeds,mean_q95_improvement,mean_mse_improvement,seed_stability_label
exgaussian,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | bimodal | bimodal_mixture | extreme | mid_high_scale,1,0,0,0.11184808675966448,-0.029346470056713262,stable_benchmark_dominance
exgaussian,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | bimodal | bimodal_mixture | high | mid_high_scale,2,0,0,-0.0157580364781372,-0.03856658600635858,stable_benchmark_dominance
exgaussian,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | symmetric | clustered | extreme | mid_high_scale,1,0,0,-0.08038374629179314,-0.20833625026786992,stable_benchmark_dominance
exgaussian,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | symmetric | heavy_tailed_t | extreme | mid_high_scale,1,0,0,-0.25520030938656235,-0.38375125285510153,stable_benchmark_dominance
exgaussian,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | upper_tail | tail_outlier | low | mid_high_scale,1,0,0,-0.004322836374084719,-0.0080357587391421,stable_benchmark_dominance
exwald,exwald | first_passage_right_skewed | heavy_first_passage_tail | bimodal | bimodal_mixture | extreme | extreme_scale,2,1,0.5,-0.14031474640379937,-0.18258579257708119,seed_sensitive
exwald,exwald | first_passage_right_skewed | heavy_first_passage_tail | point_mass | point_mass | extreme | low_scale,1,0,0,-0.059028045002107336,0.11096509974271489,stable_benchmark_dominance
exwald,exwald | first_passage_right_skewed | heavy_first_passage_tail | point_mass | point_mass | high | low_scale,1,1,1,0.06951144632597277,0.0657665010892101,stable_ga_win
exwald,exwald | first_passage_right_skewed | heavy_first_passage_tail | symmetric | heavy_tailed_t | extreme | extreme_scale,1,0,0,-0.07929879719641497,-0.1263706342933287,stable_benchmark_dominance
exwald,exwald | first_passage_right_skewed | heavy_first_passage_tail | upper_tail | tail_outlier | high | extreme_scale,1,1,1,0.08933197991465534,0.06200839060561483,stable_ga_win
invgauss,invgauss | right_skewed_duration | heavy_right_tail | point_mass | point_mass | low | extreme_scale,1,1,1,0.3858234338949553,0.5877813069279954,stable_ga_win
invgauss,invgauss | right_skewed_duration | heavy_right_tail | point_mass | point_mass | moderate | extreme_scale,1,1,1,0.47865342768801855,0.6192144195083743,stable_ga_win
invgauss,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | clustered | low | extreme_scale,1,1,1,0.5831826300354002,0.7453721379073787,stable_ga_win
invgauss,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | clustered | moderate | mid_high_scale,1,1,1,0.7086187429474984,0.7662209395926627,stable_ga_win
invgauss,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | moderate | mid_high_scale,2,1,0.5,0.4465246824959913,0.335446310768091,seed_sensitive
lognormal,lognormal | right_skewed | heavy_right_tail | bimodal | bimodal_mixture | extreme | extreme_scale,1,0,0,0.18915781697541978,-0.3738291296641549,stable_benchmark_dominance
lognormal,lognormal | right_skewed | heavy_right_tail | point_mass | point_mass | low | extreme_scale,1,1,1,0.0548220604988761,0.19695501037523178,stable_ga_win
lognormal,lognormal | right_skewed | heavy_right_tail | point_mass | point_mass | moderate | extreme_scale,1,1,1,0.022960875954779015,0.025726565161470993,stable_ga_win
lognormal,lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | extreme | low_scale,2,1,0.5,-5.803264894061466e-4,0.049202372714575476,seed_sensitive
lognormal,lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | moderate | extreme_scale,1,1,1,0.0931818781452094,0.06842583147552923,stable_ga_win
normal,normal | symmetric | light_tail | bimodal | bimodal_mixture | high | extreme_scale,2,0,0,-0.0018972314753188742,-0.021990853034659856,stable_benchmark_dominance
normal,normal | symmetric | light_tail | bimodal | bimodal_mixture | moderate | extreme_scale,1,0,0,0.010257066827134375,-0.04233223705390881,stable_benchmark_dominance
normal,normal | symmetric | light_tail | symmetric | clustered | high | mid_high_scale,1,0,0,0.00855646955364495,-0.01574123622265787,stable_benchmark_dominance
normal,normal | symmetric | light_tail | symmetric | heavy_tailed_t | high | mid_high_scale,1,0,0,0.01910620462372682,-0.037493652687108914,stable_benchmark_dominance
normal,normal | symmetric | light_tail | upper_tail | tail_outlier | low | low_scale,1,0,0,-0.029102253794763215,-0.027129244840686944,stable_benchmark_dominance
weibull,weibull | right_skewed_flexible_shape | flexible_tail | point_mass | point_mass | moderate | extreme_scale,1,0,0,-0.10324783017478609,-0.08888148413134252,stable_benchmark_dominance
weibull,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | moderate | extreme_scale,2,2,1,0.1033614194980507,0.29399506045813284,stable_ga_win
weibull,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | moderate | mid_high_scale,2,2,1,0.5422860240414782,0.7504135447960449,stable_ga_win
weibull,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | tail_outlier | moderate | extreme_scale,1,0,0,-0.17225252474903271,0.3908693563124976,stable_benchmark_dominance
