family,specialist_regime_id,regime_key,experimental_condition_key,condition_summary,shape_regime,tail_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,severity_regime,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,n_train_scenarios,n_heldout_scenarios,winner_type,final_selected_type,final_selected_estimator,gate_pass,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_heldout_q95_mse,ga_heldout_mean_mse,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,winner_weight_vector,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,interfamily_profile_audit_run,interfamily_profile_n_targets,interfamily_profile_n_passes,interfamily_profile_best_rel_improvement_q95,interfamily_profile_best_rel_improvement_mean,interfamily_profile_interpretations,interfamily_profile_target_families,thesis_result_label,run_seed,seed_run_id
normal,REG01,normal | symmetric | light_tail | bimodal | bimodal_mixture | high | extreme_scale,normal | symmetric | light_tail | contaminated | bimodal | bimodal_mixture | high | extreme_scale | extreme_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=bimodal | structure=bimodal_mixture | severity=extreme_severity | rates={0.15;0.2} | scales={30} | types={mixture_bimodal_far;mixture_bimodal_near},symmetric,light_tail,bimodal,bimodal_mixture,high,extreme_scale,extreme_scale,extreme_severity,evaluated,NA,24,4,20,2,TRUE,17,7,benchmark,benchmark,biweight,FALSE,2,current_specialist_finalist,FALSE,NA,FALSE,1,0.04016273519615048,0.011218082548763495,0.040068507961516855,0.010918749189299398,biweight,biweight,-0.0023516531916230737,-0.027414619957571357,TRUE,family_direction_structure_adjacent_rate_scale,46,24,24,FALSE,benchmark,biweight,-0.007277867381550303,-0.00994973745442399,benchmark_dominant_local_and_profile,1.954503112342419,1.8142065060874664,0.00439665;0.00429439;0.01500818;0;0;0.00157072;0.0002931;0.00226694;0.12972607;0.84244397,0.004396645397436469,0.004294386237194609,0.015008175265454143,1e-12,1e-12,0.0015707205811991824,2.9309700356770145e-4,0.002266939887454348,0.12972606884256274,0.8424439667831308,FALSE,0,0,NA,NA,NA,NA,benchmark_dominant_local,101,GA_REGIME_FIRST_20260525_190322
normal,REG02,normal | symmetric | light_tail | bimodal | bimodal_mixture | moderate | extreme_scale,normal | symmetric | light_tail | contaminated | bimodal | bimodal_mixture | moderate | extreme_scale | extreme_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=bimodal | structure=bimodal_mixture | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={mixture_bimodal_far;mixture_bimodal_near},symmetric,light_tail,bimodal,bimodal_mixture,moderate,extreme_scale,extreme_scale,extreme_severity,evaluated,NA,24,4,20,2,TRUE,17,7,benchmark,benchmark,biweight,FALSE,1,current_specialist_finalist,FALSE,NA,FALSE,1,0.043176405814253714,0.01211775727577376,0.04362385864767059,0.011625618823784593,biweight,biweight,0.010257066827134375,-0.04233223705390881,TRUE,family_direction_structure_adjacent_rate_scale,60,24,24,FALSE,benchmark,biweight,-0.06394756402763804,-0.057027484668933405,benchmark_dominant_local_and_profile,1.350657265314364,1.24795103677675,0.0037235;0.00283947;0.00446893;0;0;0.00240962;0.0003035;0.00275192;0.13537803;0.84812504,0.003723499694466543,0.0028394740231009854,0.0044689260388205984,1e-12,1e-12,0.002409616770856297,3.0349829307921007e-4,0.0027519207714445425,0.13537802822195166,0.8481250361842803,FALSE,0,0,NA,NA,NA,NA,benchmark_dominant_local,101,GA_REGIME_FIRST_20260525_190322
normal,REG03,normal | symmetric | light_tail | symmetric | heavy_tailed_t | high | mid_high_scale,normal | symmetric | light_tail | contaminated | symmetric | heavy_tailed_t | high | moderate_scale | high_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=symmetric | structure=heavy_tailed_t | severity=high_severity | rates={0.2} | scales={9;20} | types={symmetric_t},symmetric,light_tail,symmetric,heavy_tailed_t,high,moderate_scale,mid_high_scale,high_severity,evaluated,NA,12,12,0,0,FALSE,9,3,benchmark,benchmark,biweight,FALSE,1,current_specialist_finalist,FALSE,NA,FALSE,1,0.07813150111523912,0.019144657356580684,0.07965337479302415,0.018452794681643132,biweight,biweight,0.01910620462372682,-0.037493652687108914,TRUE,family_direction_structure_adjacent_rate_scale,33,24,12,FALSE,benchmark,biweight,-0.09894449835669493,-0.06445421986520605,benchmark_dominant_local_and_profile,0.8186708156895935,0.7887975232172786,0.00321885;0.00481274;0.00466313;0;0;0.00192417;0.00029892;0.00223162;0.13671198;0.84613859,0.0032188520298006345,0.004812737223633803,0.004663127658885111,1e-12,1e-12,0.0019241725734757754,2.989203901529366e-4,0.002231620650595593,0.1367119804299905,0.8461385890414657,FALSE,0,0,NA,NA,NA,NA,benchmark_dominant_local,101,GA_REGIME_FIRST_20260525_190322
lognormal,REG01,lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | moderate | extreme_scale,lognormal | right_skewed | heavy_right_tail | contaminated | upper_tail | tail_outlier | moderate | extreme_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.1} | scales={30} | types={upper_tail},right_skewed,heavy_right_tail,upper_tail,tail_outlier,moderate,extreme_scale,extreme_scale,extreme_severity,evaluated,NA,24,2,22,2,TRUE,17,7,ga_composite,ga_composite,robust,TRUE,3,current_specialist_finalist,FALSE,NA,FALSE,0,0.11940562354642134,0.06441555115110698,0.11940562354642134,0.06441555115110698,huber,huber,0.0931818781452094,0.06842583147552923,TRUE,family_direction_adjacent_rate_scale,60,24,24,FALSE,benchmark,huber,-0.11017222110316856,-0.11956909577076377,regime_specific_profile_no_free_lunch,1.745481090829083,2.1139736871998833,0.11631295;0.1777391;0.0233594;0.00473253;0.247302;0.00277364;0.00109957;0.01604817;0.11753255;0.29310007,0.11631295487903373,0.1777391030435918,0.023359404104656957,0.004732526637384852,0.24730200109068418,0.0027736371176096592,0.001099573616029026,0.01604817009772131,0.11753255461174485,0.29310007480154365,TRUE,3,0,-0.43947305281667837,-0.5637839533243183,source_regime_specific_cross_family_no_free_lunch,weibull;invgauss;exgaussian,ga_wins_local_only_no_free_lunch,101,GA_REGIME_FIRST_20260525_190322
lognormal,REG02,lognormal | right_skewed | heavy_right_tail | bimodal | bimodal_mixture | extreme | extreme_scale,lognormal | right_skewed | heavy_right_tail | contaminated | bimodal | bimodal_mixture | extreme | extreme_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=bimodal | structure=bimodal_mixture | severity=extreme_severity | rates={0.3} | scales={30} | types={mixture_bimodal_near},right_skewed,heavy_right_tail,bimodal,bimodal_mixture,extreme,extreme_scale,extreme_scale,extreme_severity,evaluated,NA,18,2,16,2,TRUE,13,5,benchmark,benchmark,huber,FALSE,1,current_specialist_finalist,FALSE,NA,FALSE,1,0.2538938867962419,0.14651011483386192,0.3131236782099365,0.10664362231808538,huber,mean,0.18915781697541978,-0.3738291296641549,TRUE,family_direction_structure_adjacent_rate_scale,24,24,18,FALSE,benchmark,mean,-0.773139056005297,-2.733726504436173,benchmark_dominant_local_and_profile,1.251264112118189,1.4735733529938848,0.02996489;0.03807231;0.05699642;0.00705004;0.45127196;0.00254697;0.00364703;0.20675557;0.18914512;0.01454969,0.02996489362636276,0.038072308722476966,0.05699642160506783,0.007050040250969366,0.45127196217111565,0.002546967974122076,0.0036470286485625588,0.2067555729358113,0.1891451152884539,0.014549688777057599,FALSE,0,0,NA,NA,NA,NA,benchmark_dominant_local,101,GA_REGIME_FIRST_20260525_190322
lognormal,REG03,lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | extreme | low_scale,lognormal | right_skewed | heavy_right_tail | contaminated | upper_tail | tail_outlier | extreme | low_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.3} | scales={1.5;3} | types={upper_tail},right_skewed,heavy_right_tail,upper_tail,tail_outlier,extreme,low_scale,low_scale,extreme_severity,evaluated,NA,18,2,16,2,TRUE,13,5,ga_composite,ga_composite,robust,TRUE,3,current_specialist_finalist,FALSE,NA,FALSE,0,0.0768109876287945,0.03289245293682777,0.0768109876287945,0.03289245293682777,trimmed20,huber,0.17877441524077972,0.2321228871615846,TRUE,family_direction_adjacent_rate_scale,30,24,18,FALSE,benchmark,median,-0.6266536509115302,-0.526835144593252,regime_specific_profile_no_free_lunch,2.8691551460279845,3.486925475777515,0.14456807;0.29777379;0.04220581;0.00508995;0.02135669;0.00351171;0.00120228;0.06295799;0.0805145;0.34081921,0.1445680718553267,0.29777379049119956,0.042205808468288045,0.0050899510904930025,0.021356690321634578,0.003511713446529957,0.0012022770740337792,0.06295799144773626,0.0805144980946488,0.3408192077101093,TRUE,3,2,0.17822842435882533,0.31964780953959987,interfamily_profile_generalization_bonus;source_regime_specific_cross_family_no_free_lunch,weibull;invgauss;exgaussian,ga_wins_local_only_no_free_lunch,101,GA_REGIME_FIRST_20260525_190322
weibull,REG01,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | moderate | extreme_scale,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | upper_tail | clustered | moderate | extreme_scale | extreme_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={clustered_upper},right_skewed_flexible_shape,flexible_tail,upper_tail,clustered,moderate,extreme_scale,extreme_scale,extreme_severity,evaluated,NA,24,2,22,3,TRUE,17,7,ga_composite,ga_composite,robust,TRUE,6,protected_previous_stage_elite,TRUE,previous_stage_elite,TRUE,1,0.11664223549744354,0.053123412309083184,0.11664223549744354,0.053123412309083184,huber,huber,0.08305619456795184,0.3103691423010681,TRUE,family_direction_adjacent_rate_scale,60,24,24,FALSE,benchmark,huber,-0.5022072805163154,0.19013591948160077,regime_specific_profile_no_free_lunch,2.2123047877818633,1.7943119404681231,0.3108805;0.4448962;0.04142225;0.01544314;0.0210935;0.01635386;0.00509254;0.02667906;0.04686945;0.07126949,0.3108804995604482,0.4448962020781118,0.04142224947282688,0.015443136306780705,0.021093500318722612,0.016353862678578322,0.0050925420013002735,0.026679062466962614,0.04686945406166954,0.071269491054599,TRUE,3,2,0.03384252935781767,0.22405180850344025,interfamily_profile_generalization_bonus;source_regime_specific_cross_family_no_free_lunch,lognormal;invgauss;exgaussian,ga_wins_local_only_no_free_lunch,101,GA_REGIME_FIRST_20260525_190322
weibull,REG02,weibull | right_skewed_flexible_shape | flexible_tail | point_mass | point_mass | moderate | extreme_scale,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | point_mass | point_mass | moderate | extreme_scale | extreme_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={point_mass},right_skewed_flexible_shape,flexible_tail,point_mass,point_mass,moderate,extreme_scale,extreme_scale,extreme_severity,evaluated,NA,24,2,22,2,TRUE,17,7,benchmark,benchmark,huber,FALSE,5,current_specialist_finalist,FALSE,NA,FALSE,0,0.15175199552677557,0.0929012827899161,0.13755023248278717,0.08531808479041171,huber,huber,-0.10324783017478609,-0.08888148413134252,TRUE,family_adjacent_rate_scale,312,32,24,FALSE,benchmark,huber,-0.2748603996129714,-0.14467630765013473,benchmark_dominant_local_and_profile,2.2712980375517717,2.492109828448785,0.14168339;0.17885467;0.04904883;0.01120344;0.06286122;0.01458841;0.00237451;0.0673791;0.35362283;0.1183836,0.14168338826883597,0.1788546714844736,0.049048832172838036,0.011203436781074843,0.0628612233618816,0.014588409478061662,0.0023745088558308316,0.06737909922794333,0.3536228347809253,0.11838359558813484,FALSE,0,0,NA,NA,NA,NA,benchmark_dominant_local,101,GA_REGIME_FIRST_20260525_190322
weibull,REG03,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | moderate | mid_high_scale,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | upper_tail | clustered | moderate | moderate_scale | moderate_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=moderate_severity | rates={0.05;0.1} | scales={4.5;6;9;12;15;20} | types={clustered_upper},right_skewed_flexible_shape,flexible_tail,upper_tail,clustered,moderate,moderate_scale,mid_high_scale,moderate_severity,evaluated,NA,12,12,0,0,FALSE,9,3,ga_composite,ga_composite,robust,TRUE,4,current_specialist_finalist,FALSE,NA,FALSE,0,0.0630236896997149,0.021681537788179675,0.0630236896997149,0.021681537788179675,huber,huber,0.5533917732531882,0.7521812914416383,TRUE,family_direction_structure_adjacent_rate_scale,42,24,12,FALSE,benchmark,huber,-0.7273486342608476,-0.3917010417176521,regime_specific_profile_no_free_lunch,3.9713486635175155,6.187220501831242,0.52031011;0.22393152;0.02223105;0.0053733;0.06657573;0.01201056;0.00183961;0.01629539;0.06882118;0.06261154,0.5203101132827311,0.22393152125275353,0.02223104863546025,0.005373298516111081,0.06657573440151389,0.012010562768049477,0.0018396133194680834,0.01629539060109755,0.06882117883590763,0.06261153838690732,TRUE,3,1,0.16756725935168018,0.3459628903610644,source_regime_specific_cross_family_no_free_lunch;interfamily_profile_generalization_bonus,lognormal;invgauss;exgaussian,ga_wins_local_only_no_free_lunch,101,GA_REGIME_FIRST_20260525_190322
invgauss,REG01,invgauss | right_skewed_duration | heavy_right_tail | point_mass | point_mass | low | extreme_scale,invgauss | right_skewed_duration | heavy_right_tail | contaminated | point_mass | point_mass | low | extreme_scale | extreme_severity,shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=extreme_severity | rates={0.02} | scales={30} | types={point_mass},right_skewed_duration,heavy_right_tail,point_mass,point_mass,low,extreme_scale,extreme_scale,extreme_severity,evaluated,NA,16,2,14,2,TRUE,12,4,ga_composite,ga_composite,robust,TRUE,1,current_specialist_finalist,FALSE,NA,FALSE,1,0.0767629871080259,0.035646081293070064,0.0767629871080259,0.035646081293070064,huber,huber,0.3858234338949553,0.5877813069279954,TRUE,family_adjacent_rate_scale,264,27,16,FALSE,benchmark,mean,-1.132001209340431,-1.8796765876062071,regime_specific_profile_no_free_lunch,1.7986623959557535,2.594179640233523,0.46017205;0.17433043;0.06728728;0.02191924;0.06133843;0.0466541;0.00572181;0.0378133;0.06417593;0.06058742,0.46017204889325874,0.17433043459419026,0.06728728403828556,0.021919235722117115,0.06133843004369838,0.0466541042930768,0.005721810334265822,0.03781330073205078,0.06417593079015309,0.06058742055890349,TRUE,3,1,0.26670465274087524,0.5865760478160489,source_regime_specific_cross_family_no_free_lunch;interfamily_profile_generalization_bonus,lognormal;weibull;exgaussian,ga_wins_local_only_no_free_lunch,101,GA_REGIME_FIRST_20260525_190322
invgauss,REG02,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | moderate | mid_high_scale,invgauss | right_skewed_duration | heavy_right_tail | contaminated | upper_tail | tail_outlier | moderate | moderate_scale | moderate_severity,shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=moderate_severity | rates={0.05;0.1} | scales={4.5;6;9;12;15;20} | types={upper_tail},right_skewed_duration,heavy_right_tail,upper_tail,tail_outlier,moderate,moderate_scale,mid_high_scale,moderate_severity,evaluated,NA,12,12,0,0,FALSE,9,3,ga_composite,ga_composite,robust,TRUE,5,current_specialist_finalist,FALSE,NA,FALSE,0,0.03958585942532434,0.015288027933788225,0.03958585942532434,0.015288027933788225,huber,mean,0.6624751412683798,0.8002192377031202,TRUE,family_direction_structure_adjacent_rate_scale,42,24,12,TRUE,ga_composite,robust,0.2906843303628632,0.3441678358503982,profile_matched_generalization_bonus,2.0577088986593877,2.6927822440058655,0.51962763;0.19038828;0.05537155;0.0155778;0.04852476;0.03552253;0.00615588;0.0230744;0.06363104;0.04212613,0.519627630561884,0.19038827620256427,0.05537154779772771,0.015577798549204188,0.04852476288138251,0.03552253106275654,0.006155877349222809,0.023074404506232462,0.06363103958054536,0.04212613150848015,TRUE,3,0,-0.3092794847594305,0.3254788153053196,source_regime_specific_cross_family_no_free_lunch,lognormal;weibull;exgaussian,ga_wins_local_and_profile,101,GA_REGIME_FIRST_20260525_190322
