family,architecture,evaluated_regimes,ga_regime_wins,benchmark_regime_wins,best_ga_rel_improvement_q95,best_ga_rel_improvement_mean,global_audit_runs,global_audit_passes,no_free_lunch_regime_specific_count,global_generalization_bonus_count,run_seed,seed_run_id
normal,regime_first,3,0,3,0.01910620462372682,-0.027414619957571357,3,0,0,0,101,GA_REGIME_FIRST_20260525_190322
lognormal,regime_first,3,2,1,0.18915781697541978,0.2321228871615846,3,0,0,0,101,GA_REGIME_FIRST_20260525_190322
weibull,regime_first,3,2,1,0.5533917732531882,0.7521812914416383,3,0,0,0,101,GA_REGIME_FIRST_20260525_190322
invgauss,regime_first,3,3,0,0.6624751412683798,0.8002192377031202,3,2,0,0,101,GA_REGIME_FIRST_20260525_190322
exgaussian,regime_first,3,0,3,-0.004322836374084719,-0.0080357587391421,3,0,0,0,101,GA_REGIME_FIRST_20260525_190322
exwald,regime_first,3,2,1,0.2197039347158539,0.24995260059281585,3,0,0,0,101,GA_REGIME_FIRST_20260525_190322
normal,regime_first,3,0,3,0.00855646955364495,-0.01574123622265787,3,0,0,0,202,GA_REGIME_FIRST_20260526_164654
lognormal,regime_first,3,2,1,0.0548220604988761,0.19695501037523178,3,0,0,0,202,GA_REGIME_FIRST_20260526_164654
weibull,regime_first,3,2,1,0.531180274829768,0.7486457981504515,3,1,0,0,202,GA_REGIME_FIRST_20260526_164654
invgauss,regime_first,3,2,1,0.7086187429474984,0.7662209395926627,3,3,0,0,202,GA_REGIME_FIRST_20260526_164654
exgaussian,regime_first,3,0,3,0.11184808675966448,-0.009033627556632106,3,0,0,0,202,GA_REGIME_FIRST_20260526_164654
exwald,regime_first,3,1,2,0.06951144632597277,0.11096509974271489,3,0,0,0,202,GA_REGIME_FIRST_20260526_164654
