"dataset_id","domain","family_hint","empirical_profile","specialist_id","specialist_family","mode","n_condition_rows","n_profile_rows","n_countable_primary_wins","n_uncapped_primary_strong_wins","dataset_saturated","dataset_stop_reason","any_primary_strong_win","best_condition_id","best_benchmark_joint","best_gain_mean","best_gain_q95","best_ci_low","best_ci_high","dataset_level_p_one_sided","dataset_level_q_value_bh","dataset_level_fdr_pass_primary","dataset_level_fdr_pass_secondary","best_evidence_layer","best_ci_layer","best_final_evidence_label"
"RD_admiral_admiral_adlb_auto__depth_body_10_90","rdatasets_admiral","empirical_public","weibull_like","TAX-Q1R011","weibull","locked_unseen_similar",3,3,0,0,FALSE,"",TRUE,1,"huber_k1.345",0.000247583928691342,0.000229740185762918,0.000228964950952431,0.000231235963663547,0,0,TRUE,TRUE,"strong_win","ci_confirmed","eligible / in_regime / primary_preregistered / strong_win / ci_confirmed"
"RD_admiral_admiral_adlb_auto__depth_body_10_90","rdatasets_admiral","empirical_public","weibull_like","TAX-Q1R011","weibull","original_regime",6,6,0,0,FALSE,"",TRUE,4,"huber_k1.345",0.000228015982742847,0.000262702830716009,0.00025704551944726,0.000263632766166036,0,0,TRUE,TRUE,"strong_win","ci_confirmed","eligible / in_regime / primary_preregistered / strong_win / ci_confirmed"
"RD_admiral_admiral_adlb_auto__depth_body_10_90","rdatasets_admiral","empirical_public","weibull_like","TAX-Q1R012","weibull","locked_unseen_similar",3,3,0,0,FALSE,"",FALSE,2,"huber_k1.345",-0.000109215136128593,-0.000138649193645354,-0.0001412912463738,-0.000134806236009435,1,1,FALSE,FALSE,"no_win","descriptive","eligible / in_regime / primary_preregistered / no_win / descriptive"
"RD_admiral_admiral_adlb_auto__depth_body_10_90","rdatasets_admiral","empirical_public","weibull_like","TAX-Q1R012","weibull","original_regime",6,6,0,0,FALSE,"",FALSE,6,"huber_k1.345",-0.000113971835247531,-0.000118807529558563,-0.00012285300363564,-0.000114252301667791,1,1,FALSE,FALSE,"no_win","descriptive","eligible / in_regime / primary_preregistered / no_win / descriptive"
"RD_admiral_admiral_adlb_auto__depth_body_10_90","rdatasets_admiral","empirical_public","weibull_like","TAX-Q1R018","weibull","locked_unseen_similar",3,3,0,0,FALSE,"",TRUE,3,"huber_k1.345",0.000352723927235088,0.000389697424269722,0.000387087746939702,0.000391401072299853,0,0,TRUE,TRUE,"strong_win","ci_confirmed","eligible / in_regime / primary_preregistered / strong_win / ci_confirmed"
"RD_admiral_admiral_adlb_auto__depth_body_10_90","rdatasets_admiral","empirical_public","weibull_like","TAX-Q1R018","weibull","original_regime",3,3,0,0,FALSE,"",TRUE,1,"huber_k1.345",0.000352432472926535,0.000388348948901069,0.000386154750777342,0.000392259299580642,0,0,TRUE,TRUE,"strong_win","ci_confirmed","eligible / in_regime / primary_preregistered / strong_win / ci_confirmed"
"RD_admiral_admiral_adlb_auto__depth_body_10_90","rdatasets_admiral","empirical_public","weibull_like","TAX-Q1R019","weibull","locked_unseen_similar",3,3,0,0,FALSE,"",TRUE,2,"huber_k1.345",0.000327196924580674,0.000376606989611476,0.0003733410975858,0.000378282021071598,0,0,TRUE,TRUE,"strong_win","ci_confirmed","eligible / in_regime / primary_preregistered / strong_win / ci_confirmed"
"RD_admiral_admiral_adlb_auto__depth_body_10_90","rdatasets_admiral","empirical_public","weibull_like","TAX-Q1R019","weibull","original_regime",36,36,0,0,FALSE,"",TRUE,11,"huber_k1.345",0.000326027650519873,0.000375002526357883,0.000373912004553934,0.000378869655950859,0,0,TRUE,TRUE,"strong_win","ci_confirmed","eligible / in_regime / primary_preregistered / strong_win / ci_confirmed"
"RD_admiral_admiral_adlb_auto__depth_bootstrap_full","rdatasets_admiral","empirical_public","lognormal_like","TAX-Q1R008","lognormal","locked_unseen_similar",3,3,0,0,FALSE,"",TRUE,2,"huber_k1.345",0.000824947411046759,0.00120012963655923,0.00115580051090111,0.00135517142297234,0,0,TRUE,TRUE,"strong_win","ci_confirmed","eligible / in_regime / primary_preregistered / strong_win / ci_confirmed"
"RD_admiral_admiral_adlb_auto__depth_bootstrap_full","rdatasets_admiral","empirical_public","lognormal_like","TAX-Q1R008","lognormal","original_regime",6,6,0,0,FALSE,"",TRUE,4,"huber_k1.345",0.000849283725409494,0.00135833248740615,0.00120042008906457,0.00145955537532316,0,0,TRUE,TRUE,"strong_win","ci_confirmed","eligible / in_regime / primary_preregistered / strong_win / ci_confirmed"
"RD_admiral_admiral_adlb_auto__depth_bootstrap_full","rdatasets_admiral","empirical_public","lognormal_like","TAX-Q1R009","lognormal","locked_unseen_similar",3,3,0,0,FALSE,"",FALSE,1,"huber_k1.345",-0.00461790884369946,-0.00457074088909866,-0.00595372262076228,-0.00385851645761388,1,1,FALSE,FALSE,"no_win","descriptive","eligible / in_regime / primary_preregistered / no_win / descriptive"
