"specialist_id","domain","n_rows","n_strong_win","n_strong_point_signal","n_pareto_signal","n_equal_weight_gain","n_no_win","pass_rate","median_q95_gain","best_dataset"
"TAX-Q1R008","biological_positive",36,24,0,0,9,3,0.666666666666667,0.00403432041813757,"UCI_abalone_whole_weight"
"TAX-Q1R008","biomedical_signal",9,0,0,0,9,0,0,-1.90988329702594e-05,"UCI_parkinsons_PPE"
"TAX-Q1R008","engineering_positive",9,0,0,0,9,0,0,-26.8842375683425,"UCI_auto_horsepower"
"TAX-Q1R008","environmental_extremes",9,0,0,0,5,4,0,-0.0971092325966527,"UCI_forestfires_log_area"
"TAX-Q1R008","mobility_demand",108,94,3,0,5,6,0.898148148148148,1023.0666695088,"UCI_bike_hour_count__depth_upper_tail_enriched"
"TAX-Q1R008","positive_skew_tabular",144,78,3,0,48,15,0.5625,0.0077935500405232,"UCI_wine_white_residual_sugar"
"TAX-Q1R008","rdatasets_admiral",27,15,0,0,0,12,0.555555555555556,0.00120636338456362,"RD_admiral_admiral_adlb_auto"
"TAX-Q1R008","rdatasets_archdata",9,3,0,0,6,0,0.333333333333333,-1.38907421045384,"RD_archdata_Handaxes_auto"
"TAX-Q1R008","rdatasets_bayesrules",36,30,0,0,0,6,0.833333333333333,1719.58194522305,"RD_bayesrules_bird_counts_auto__depth_upper_tail_enriched"
"TAX-Q1R008","rdatasets_camerondata",27,3,0,0,24,0,0.111111111111111,-0.0273171588128601,"RD_camerondata_vietnam_ind_auto"
"TAX-Q1R008","rdatasets_collegeScorecard",9,0,0,0,0,9,0,-939816.041305793,"RD_collegeScorecard_scorecard_auto"
"TAX-Q1R008","rdatasets_crch",9,0,0,0,6,3,0,-2.68290760648687,"RD_crch_RainIbk_auto"
"TAX-Q1R008","rdatasets_DAAG",9,0,0,0,9,0,0,-30373.3363582844,"RD_DAAG_nassCDS_auto"
"TAX-Q1R008","web_popularity",72,66,0,0,6,0,0.916666666666667,0.0856010710047976,"UCI_online_news_tokens__depth_upper_tail_enriched"
"TAX-Q1R009","biological_positive",118,64,0,0,39,15,0.542372881355932,0.00136182751270069,"UCI_abalone_whole_weight__depth_bootstrap_full"
"TAX-Q1R009","biomedical_signal",39,0,0,0,39,0,0,-1.88408536191688e-05,"UCI_parkinsons_PPE"
"TAX-Q1R009","engineering_positive",39,0,0,0,38,1,0,-22.0499379421892,"UCI_auto_horsepower"
"TAX-Q1R009","environmental_extremes",39,0,0,0,26,13,0,-0.0864673501536853,"UCI_forestfires_log_area"
"TAX-Q1R009","mobility_demand",393,261,3,0,65,64,0.67175572519084,289.726641577864,"UCI_bike_hour_count__depth_upper_tail_enriched"
"TAX-Q1R009","positive_skew_tabular",513,204,10,0,182,117,0.417153996101364,-0.00302166972735475,"UCI_wine_white_residual_sugar__depth_bootstrap_full"
"TAX-Q1R009","rdatasets_admiral",117,0,1,0,0,116,0.00854700854700855,-0.00659593386068136,"RD_admiral_admiral_adlb_auto"
"TAX-Q1R009","rdatasets_archdata",7,7,0,0,0,0,1,1.19432993967648,"RD_archdata_Handaxes_auto"
"TAX-Q1R009","rdatasets_bayesrules",118,118,0,0,0,0,1,1073.21746263811,"RD_bayesrules_bird_counts_auto__depth_upper_tail_enriched"
"TAX-Q1R009","rdatasets_camerondata",85,85,0,0,0,0,1,0.00379858558009237,"RD_camerondata_vietnam_ind_auto__depth_bootstrap_full"
"TAX-Q1R009","rdatasets_collegeScorecard",3,0,0,0,0,3,0,-417282.440939042,"RD_collegeScorecard_scorecard_auto"
"TAX-Q1R009","rdatasets_crch",39,0,0,0,0,39,0,-7.0424944931383,"RD_crch_RainIbk_auto"
"TAX-Q1R009","rdatasets_DAAG",39,0,0,0,30,9,0,-10800.2068184089,"RD_DAAG_nassCDS_auto"
"TAX-Q1R009","web_popularity",275,162,6,0,92,15,0.610909090909091,0.0117208588659857,"UCI_online_news_tokens__depth_upper_tail_enriched"
"TAX-Q1R010","biomedical_signal",39,0,0,0,39,0,0,-0.0867602862478623,"UCI_parkinsons_HNR"
"TAX-Q1R010","education_scores",139,13,7,0,68,51,0.143884892086331,-0.0299115175363921,"UCI_student_math_G3"
"TAX-Q1R010","engineering_efficiency",39,0,0,0,39,0,0,-0.128902575365287,"UCI_auto_mpg"
"TAX-Q1R010","rdatasets_AER",12,0,0,0,0,12,0,-203.686278963495,"RD_AER_Fertility_auto"
"TAX-Q1R010","rdatasets_agridat",39,0,0,0,39,0,0,-10132.5658919707,"RD_agridat_lee.potatoblight_auto"
"TAX-Q1R010","rdatasets_alone",156,0,2,4,150,0,0.0128205128205128,-0.01399218253243,"RD_alone_loadouts_auto__depth_bootstrap_full"
"TAX-Q1R010","rdatasets_archdata",39,0,0,0,39,0,0,-0.0501348167780397,"RD_archdata_Handaxes_auto__depth_body_10_90"
"TAX-Q1R010","rdatasets_asaur",78,33,6,0,39,0,0.5,-1.49102116611407,"RD_asaur_prostateSurvival_auto__depth_body_10_90"
"TAX-Q1R010","rdatasets_bakeoff",127,36,0,0,91,0,0.283464566929134,-0.00604818982336471,"RD_bakeoff_challenges_data__auto__depth_bootstrap_full"
"TAX-Q1R010","rdatasets_betareg",39,0,0,0,39,0,0,-0.0180654969962894,"RD_betareg_LossAversion_auto"
"TAX-Q1R010","rdatasets_boot",127,87,3,1,0,36,0.708661417322835,0.294900850546744,"RD_boot_amis_auto"
"TAX-Q1R010","rdatasets_causaldata",39,0,0,0,39,0,0,-1.14381406240976,"RD_causaldata_mortgages_auto"
"TAX-Q1R010","rdatasets_cluster",39,0,0,0,39,0,0,-1.22271021794057,"RD_cluster_xclara_auto"
"TAX-Q1R010","rdatasets_crimedatasets",12,0,0,0,0,12,0,-2.3269668425776e+21,"RD_crimedatasets_vehiclethefts_tbl_df_auto"
"TAX-Q1R010","rdatasets_dragracer",127,50,2,2,65,8,0.409448818897638,-0.00106426772075099,"RD_dragracer_rpdr_contep_auto"
"TAX-Q1R010","rdatasets_educationR",39,0,0,0,39,0,0,-0.000184782170144071,"RD_educationR_major_survey_tbl_df_auto"
"TAX-Q1R010","rdatasets_forecast",39,0,0,0,39,0,0,-37480.4749236453,"RD_forecast_taylor_auto"
"TAX-Q1R010","rdatasets_fpp2",127,51,0,1,39,36,0.401574803149606,-8.11727687842113,"RD_fpp2_calls_auto"
"TAX-Q1R010","rdatasets_gt",127,88,0,0,39,0,0.692913385826772,0.589207803305417,"RD_gt_pizzaplace_auto__depth_upper_tail_enriched"
"TAX-Q1R010","rdatasets_HistData",133,85,9,0,39,0,0.706766917293233,0.119185609080013,"RD_HistData_Pollen_auto__depth_upper_tail_enriched"
"TAX-Q1R010","rdatasets_ISLR",127,79,3,0,39,6,0.645669291338583,1659.7052828925,"RD_ISLR_Default_auto"
"TAX-Q1R010","rdatasets_OncoDataSets",78,31,8,0,39,0,0.5,-1.69190950821251,"RD_OncoDataSets_ProstateSurvival_df_auto__depth_body_10_90"
"TAX-Q1R010","rdatasets_psych",39,39,0,0,0,0,1,3.25032430992633,"RD_psych_bfi_auto__depth_upper_tail_enriched"
"TAX-Q1R011","rdatasets_admiral",9,9,0,0,0,0,1,0.000229497318749851,"RD_admiral_admiral_adlb_auto__depth_body_10_90"
"TAX-Q1R011","rdatasets_archdata",18,1,0,0,17,0,0.0555555555555556,-1.1489113396126,"RD_archdata_Handaxes_auto__depth_bootstrap_full"
"TAX-Q1R011","rdatasets_asaur",18,0,0,0,1,17,0,-49.6837655311372,"RD_asaur_prostateSurvival_auto__depth_bootstrap_full"
"TAX-Q1R011","rdatasets_OncoDataSets",18,0,0,0,0,18,0,-51.8501837974746,"RD_OncoDataSets_ProstateSurvival_df_auto"
"TAX-Q1R011","rdatasets_psych",27,0,0,0,18,9,0,-3.29490604126865,"RD_psych_bfi_auto__depth_body_10_90"
"TAX-Q1R012","rdatasets_admiral",9,0,0,0,0,9,0,-0.0001378227268527,"RD_admiral_admiral_adlb_auto__depth_body_10_90"
"TAX-Q1R012","rdatasets_archdata",18,1,0,0,17,0,0.0555555555555556,-0.592905842402509,"RD_archdata_Handaxes_auto__depth_bootstrap_full"
"TAX-Q1R012","rdatasets_asaur",18,0,0,0,16,2,0,-36.6591695690429,"RD_asaur_prostateSurvival_auto"
"TAX-Q1R012","rdatasets_OncoDataSets",18,0,0,0,15,3,0,-37.0774362351872,"RD_OncoDataSets_ProstateSurvival_df_auto"
"TAX-Q1R012","rdatasets_psych",27,0,0,0,25,2,0,-2.85677667781139,"RD_psych_bfi_auto__depth_body_10_90"
"TAX-Q1R016","biomedical_signal",4,0,0,0,4,0,0,-0.0249682740514033,"UCI_parkinsons_HNR"
"TAX-Q1R016","education_scores",12,0,0,0,8,4,0,-0.0675734600284719,"UCI_student_math_G3__depth_body_10_90"
"TAX-Q1R016","engineering_efficiency",4,0,0,0,4,0,0,-0.0660719395573273,"UCI_auto_mpg"
"TAX-Q1R016","rdatasets_agridat",4,0,0,0,4,0,0,-13733.3358056757,"RD_agridat_lee.potatoblight_auto"
"TAX-Q1R016","rdatasets_alone",16,0,0,0,16,0,0,-0.00347379834975307,"RD_alone_loadouts_auto__depth_upper_tail_enriched"
"TAX-Q1R016","rdatasets_archdata",4,0,0,0,4,0,0,-0.0601271291832637,"RD_archdata_Handaxes_auto__depth_body_10_90"
"TAX-Q1R016","rdatasets_asaur",8,0,0,0,8,0,0,-3.93774039195147,"RD_asaur_prostateSurvival_auto__depth_upper_tail_enriched"
"TAX-Q1R016","rdatasets_bakeoff",12,0,0,0,12,0,0,-0.00462462025201689,"RD_bakeoff_challenges_data__auto__depth_body_10_90"
"TAX-Q1R016","rdatasets_betareg",4,0,1,0,3,0,0.25,-0.000428266083676864,"RD_betareg_LossAversion_auto"
"TAX-Q1R016","rdatasets_boot",12,0,0,0,12,0,0,-0.0485812698674065,"RD_boot_amis_auto__depth_body_10_90"
"TAX-Q1R016","rdatasets_causaldata",4,0,0,0,4,0,0,-0.445553394623022,"RD_causaldata_mortgages_auto"
"TAX-Q1R016","rdatasets_cluster",4,0,0,0,4,0,0,-2.28289195873453,"RD_cluster_xclara_auto"
"TAX-Q1R016","rdatasets_dragracer",12,1,1,0,10,0,0.166666666666667,-0.00391849930830132,"RD_dragracer_rpdr_contep_auto__depth_bootstrap_full"
"TAX-Q1R016","rdatasets_educationR",4,0,0,0,4,0,0,-5.00146962517058e-05,"RD_educationR_major_survey_tbl_df_auto"
"TAX-Q1R016","rdatasets_forecast",4,0,0,0,4,0,0,-71447.7496572597,"RD_forecast_taylor_auto"
"TAX-Q1R016","rdatasets_fpp2",12,0,0,0,12,0,0,-25.4561671219296,"RD_fpp2_calls_auto__depth_body_10_90"
"TAX-Q1R016","rdatasets_gt",12,8,0,0,4,0,0.666666666666667,0.0429780856771154,"RD_gt_pizzaplace_auto__depth_bootstrap_full"
